bairro,microrregiao
aflitos,3
afogados,5
agua fria,2
alto do mandu,3
alto jose bonifacio,3
alto jose do pinho,3
alto santa teresinha,2
apipucos,3
areias,5
arruda,2
barro,5
beberibe,2
boa viagem,6
boa vista,1
bomba do hemeterio,2
bongi,5
brasilia teimosa,6
brejo da guabiraba,3
brejo de beberibe,3
cabanga,1
cacote,5
cajueiro,2
campina do barreto,2
campo grande,2
casa amarela,3
casa forte,3
caxanga,4
cidade universitaria,4
coelhos,1
cohab,6
coqueiral,5
cordeiro,4
corrego do jenipapo,3
curado,5
derby,3
dois irmaos,3
dois unidos,2
encruzilhada,2
engenho do meio,4
espinheiro,3
estancia,5
fundao,2
gracas,3
guabiraba,3
hipodromo,2
ibura,6
ilha do leite,1
ilha do retiro,4
ilha joana bezerra,1
imbiribeira,6
ipsep,6
iputinga,4
jaqueira,3
jardim sao paulo,5
jiquia,5
jordao,6
linha do tiro,2
macaxeira,3
madalena,4
mangabeira,3
mangueira,5
monteiro,3
morro da conceicao,3
mustardinha,5
nova descoberta,3
paissandu,1
parnamirim,3
passarinho,3
pau-ferro,3
peixinhos,2
pina,6
poco,3
ponto de parada,2
porto da madeira,2
prado,4
recife,1
rosarinho,2
san martin,5
sancho,5
santana,3
santo amaro,1
santo antonio,1
sao jose,1
sitio dos pintos,3
soledade,1
tamarineira,3
tejipio,5
torre,4
torreao,2
torroes,4
toto,5
varzea,4
vasco da gama,3
zumbi,4
